Company Name,RevGrp,Site_ID,B2BorC,InOrOut,StoreVehicleHome,EmployeeCount,PartSeasonalOrFullTime,ProductSalesOrServices,WorkSchedule,VeteranFriendly,ZorProvideLeads
REVOLISM - Wellness & Weight Loss,5-Bottom50Percent,Site_3,5 Only B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,2 Mostly by Prospect
Ritter's Frozen Custard,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Rocky Mountain Chocolate Factory,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Rosati's Pizza,3 Top25Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,3 Prepare and serve food,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
Roy Rogers Restaurants,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Rush Bowls,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Safe Ship,5-Bottom50Percent,Site_2,3 Both,2 Mostly in,1 Store retail location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Samurai Sam's,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,4 Mostly by Franchise
ScanElite,4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,5 Work from home,1 One to Four Employees,2 Almost full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,2 Mostly by Prospect
Schooley Mitchell Telecom Consultants,5-Bottom50Percent,Site_4,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Scout & Molly's,4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,1 Sell merchandise,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Sculpture Hospitality (fka Bevinco),4 Top50Percent,Site_2,1 Only B2B,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Sears Handyman Solutions,3 Top25Percent,Site_3,5 Only B2C,1 Only indoors,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,3 Some by Prospect and Franchise
Sears Maid Services,3 Top25Percent,Site_3,5 Only B2C,1 Only indoors,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,3 Some by Prospect and Franchise
ServiceMaster,3 Top25Percent,Site_3,3 Both,2 Mostly in,2 Store or Vehicle location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,"NA",2 Mild preference for vets,3 Some by Prospect and Franchise
ServiceMaster Home Services,3 Top25Percent,Site_3,4 Mostly B2C,2 Mostly in,2 Store or Vehicle location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
ServiceMaster Restore,3 Top25Percent,Site_3,4 Mostly B2C,2 Mostly in,2 Store or Vehicle location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
Servpro,5-Bottom50Percent,Site_2,3 Both,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,5 Seven days 24/7,1 Not a factor for me,"NA"
Shapes Fitness for Women,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
Show Homes,5-Bottom50Percent,Site_2,5 Only B2C,2 Mostly in,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
Shutter-Time!,5-Bottom50Percent,Site_2,5 Only B2C,3 Even,1 Store retail location,1 One to Four Employees,1 Full-time,1 Sell merchandise,2 Six days,1 Not a factor for me,1 All by Prospect
Sign A Rama Inc.,4 Top50Percent,Site_3,3 Both,4 Mostly out,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
Slip Doctors,2 Top10Percent,Site_3,1 Only B2B,1 Only indoors,3 Vehicle location,5 Fifty+ Employees,5 Seasonal,5 Perform services,5 Seven days 24/7,5 Major discounts/benefits to vets,5 All by Franchise
Smash Brothers LLC,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Smokin' Oak Wood Fired Pizza,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,3 Part-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
SMS Masterminds,2 Top10Percent,Site_4,1 Only B2B,1 Only indoors,5 Work from home,0 Just myself,3 Part-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Soccer Shots,4 Top50Percent,Site_2,5 Only B2C,4 Mostly out,4 Home or vehicle location,1 One to Four Employees,3 Part-time,5 Perform services,2 Six days,1 Not a factor for me,1 All by Prospect
Social Owl,4 Top50Percent,Site_2,2 Mostly B2B,1 Only indoors,5 Work from home,1 One to Four Employees,2 Almost full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Space Walk,5-Bottom50Percent,Site_2,5 Only B2C,4 Mostly out,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,1 All by Prospect
Sparkle Wash,5-Bottom50Percent,Site_2,3 Both,5 Only outdoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Speaking Roses,3 Top25Percent,Site_2,5 Only B2C,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,"NA"
Specialty Marketing Systems,4 Top50Percent,Site_2,3 Both,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Speed Queen,3 Top25Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,4 Mostly perform services,4 Seven days,1 Not a factor for me,"NA"
Speedpro Imaging,5-Bottom50Percent,Site_2,2 Mostly B2B,3 Even,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,3 Some by Prospect and Franchise
SPENGA,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
Sport Clips,4 Top50Percent,Site_4,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,4 Mostly by Franchise
Sportball,5-Bottom50Percent,Site_2,5 Only B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Sports Thread,4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,5 Work from home,0 Just myself,3 Part-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Stampcrete Epoxy Dealerships - USA,5-Bottom50Percent,Site_2,3 Both,3 Even,4 Home or vehicle location,1 One to Four Employees,3 Part-time,5 Perform services,3 Six days/nights,1 Not a factor for me,1 All by Prospect
Standard Paints / Wood Defender,4 Top50Percent,Site_3,5 Only B2C,5 Only outdoors,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,"NA"
Steamatic,4 Top50Percent,Site_3,3 Both,3 Even,2 Store or Vehicle location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
Stratus Building Solutions Master Franchise,5-Bottom50Percent,Site_2,1 Only B2B,2 Mostly in,3 Vehicle location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
Subway,2 Top10Percent,Site_5,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,3 Prepare and serve food,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
Sugar Plum Parties,4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,"NA"
Sunny Days In Home Care,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,2 Store or Vehicle location,4 Twenty to Forty-nine Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,"NA"
"Supercuts, Inc.",5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
SuperGreen Solutions,3 Top25Percent,Site_3,3 Both,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,4 Favorable lending to vets,"NA"
Superior Wash,5-Bottom50Percent,Site_2,5 Only B2C,2 Mostly in,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Sure Step,3 Top25Percent,Site_3,2 Mostly B2B,1 Only indoors,4 Home or vehicle location,0 Just myself,1 Full-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
sweetFrog,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
T Docks,4 Top50Percent,Site_2,5 Only B2C,4 Mostly out,4 Home or vehicle location,1 One to Four Employees,2 Almost full-time,1 Sell merchandise,2 Six days,1 Not a factor for me,5 All by Franchise
TacoTime,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,"NA"
Talem Home Care,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,2 Store or Vehicle location,4 Twenty to Forty-nine Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
Tapout Fitness,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Team Combat,5-Bottom50Percent,Site_2,3 Both,2 Mostly in,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
Team Logic IT,4 Top50Percent,Site_3,2 Mostly B2B,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,2 Mostly by Prospect
Tekkeez,4 Top50Percent,Site_2,3 Both,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,3 Part-time,5 Perform services,2 Six days,1 Not a factor for me,1 All by Prospect
Teriyaki Madness,4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
Thai Express,3 Top25Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,3 Prepare and serve food,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
The Brass Tap,3 Top25Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,"NA"
The Camp Transformation Center,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,"NA"
The Dapper Doughnut,4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
The Flying Locksmiths,5-Bottom50Percent,Site_2,3 Both,3 Even,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
The Franchise Explorer,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
The HomeTeam Inspection Service,5-Bottom50Percent,Site_2,5 Only B2C,3 Even,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,"NA",1 Not a factor for me,"NA"
The Hood Guyz,3 Top25Percent,Site_3,1 Only B2B,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
The Joint Chiropractic,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,2 Mostly by Prospect
The Lash Lounge,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
The Mail Box Stores,3 Top25Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,4 Mostly perform services,3 Six days/nights,1 Not a factor for me,"NA"
The Pizza Press,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
The Simple Greek,3 Top25Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,5 Seven days 24/7,1 Not a factor for me,"NA"
THE TUTORING CENTER,4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,1 All by Prospect
TheRentalGuys.ca,5-Bottom50Percent,Site_2,2 Mostly B2B,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,"NA"
TITLE Boxing Club,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Total Reporting,4 Top50Percent,Site_2,1 Only B2B,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,2 Almost full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,3 Some by Prospect and Franchise
Totally Nutz,5-Bottom50Percent,Site_2,5 Only B2C,3 Even,4 Home or vehicle location,1 One to Four Employees,3 Part-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
Touching Hearts at Home,4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,5 Seven days 24/7,5 Major discounts/benefits to vets,"NA"
Transworld Business Advisors f/k/a Franchise Mart,5-Bottom50Percent,Site_3,3 Both,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
TruBlue Total House Care,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,"NA"
Tuffy Auto Service Centers,4 Top50Percent,Site_3,5 Only B2C,2 Mostly in,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,4 Mostly perform services,5 Seven days 24/7,1 Not a factor for me,"NA"
Tutor Doctor,3 Top25Percent,Site_4,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
U-Turn Vending,3 Top25Percent,Site_2,5 Only B2C,3 Even,4 Home or vehicle location,1 One to Four Employees,3 Part-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
U.S. Lawns,5-Bottom50Percent,Site_2,4 Mostly B2C,5 Only outdoors,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,3 Six days/nights,1 Not a factor for me,"NA"
"UPS Store, The",3 Top25Percent,Site_3,3 Both,2 Mostly in,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
USA Insulation,5-Bottom50Percent,Site_2,4 Mostly B2C,4 Mostly out,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Valcor Worldwide,5-Bottom50Percent,Site_2,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Victory Lane Quick Oil Change,4 Top50Percent,Site_3,4 Mostly B2C,2 Mostly in,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
VINCI Education,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Visiting Angels,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,2 Store or Vehicle location,4 Twenty to Forty-nine Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
Wag N' Wash,5-Bottom50Percent,Site_4,5 Only B2C,1 Only indoors,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
WaveMAX Coin Laundry,3 Top25Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
Wayback Burgers f/k/a Jake's Hamburgers,4 Top50Percent,Site_4,5 Only B2C,1 Only indoors,2 Store or Vehicle location,3 Ten to Nineteen Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,"NA"
Wild Bird Center,4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
Wild Birds Unlimited,5-Bottom50Percent,Site_2,1 Only B2B,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,1 Sell merchandise,2 Six days,1 Not a factor for me,3 Some by Prospect and Franchise
Wings Etc.,4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,"NA"
Woodys Bar-B-Q,4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,"NA"
Yogi Bear's Jellystone Park (TM) Camp-Resorts,4 Top50Percent,Site_3,5 Only B2C,5 Only outdoors,1 Store retail location,4 Twenty to Forty-nine Employees,1 Full-time,4 Mostly perform services,5 Seven days 24/7,1 Not a factor for me,"NA"
Young Rembrandts,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,3 Part-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,2 Mostly by Prospect
Ziebart,4 Top50Percent,Site_4,4 Mostly B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,2 Almost full-time,2 Some merchandise sales,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
